state,date,price,rent,interest_rate,cp_index,inflation,total_pops,unemployed_pct
AK,2013-06-01,237928.25063499997,1146.6612215622445,0.09,233.504,0.2399708085599528,538281.0,7.0
AK,2013-07-01,239112.00068750003,1149.557319152911,0.09,233.596,0.03939975332329926,538697.0,7.0
AK,2013-08-01,240104.6476275,1152.5499533299153,0.08,233.877,0.12029315570472043,539112.0,7.0
AK,2013-09-01,241010.53631499998,1155.5425875069195,0.08,234.149,0.11630044852635191,539171.0,7.0
AK,2013-10-01,241551.444665,1158.4386850975861,0.09,233.546,-0.2575283259804717,539295.0,7.0
AK,2013-11-01,242113.2925675,1161.4313192745904,0.08,233.069,-0.2042424190523473,539263.0,6.9
AK,2013-12-01,242369.7416725,1164.3274168652424,0.09,233.049,-0.00858114978825597,539431.0,6.9
AK,2014-01-01,242452.64087250002,1167.3200510422612,0.07,233.916,0.3720247673236088,539619.0,6.9
AK,2014-02-01,242088.149335,1170.3126852192654,0.07,234.781,0.3697908650968751,539509.0,6.9
AK,2014-03-01,241654.261035,1173.0157096372131,0.08,236.293,0.6440044126228228,539754.0,6.9
AK,2014-04-01,241516.2114875,1176.0083438142174,0.09,237.072,0.3296754453157691,539920.0,6.9
AK,2014-05-01,242157.02237750002,1178.9044414048694,0.09,237.9,0.34926098400485106,539952.0,6.9
AK,2014-06-01,243380.49296,1181.8970755818882,0.1,238.343,0.18621269440941557,540093.0,6.9
AK,2014-07-01,244168.300645,1184.7931731725403,0.09,238.25,-0.03901939641608454,540362.0,6.8
AK,2014-08-01,244796.83170250003,1187.785807349559,0.09,237.852,-0.1670514165792225,540603.0,6.8
AK,2014-09-01,245129.7106,1190.7784415265633,0.09,238.031,0.07525688243108508,540851.0,6.7
AK,2014-10-01,245964.63225000002,1193.6745391172153,0.09,237.433,-0.251227781255392,541178.0,6.5
AK,2014-11-01,246686.99029750002,1196.667173294234,0.09,236.151,-0.5399417941061246,541342.0,6.4
AK,2014-12-01,247645.1247925,1199.5632708848862,0.12,234.812,-0.5670100910010967,541292.0,6.3
AK,2015-01-01,248760.46753,1202.5559050618904,0.11,233.707,-0.4705892373473297,541541.0,6.2
AK,2015-02-01,249788.6879775,1205.5485392389091,0.11,234.722,0.43430449237722435,541749.0,6.3
AK,2015-03-01,250513.55615249998,1208.2515636568423,0.11,236.119,0.595172161109736,541763.0,6.3
AK,2015-04-01,250881.440945,1211.244197833861,0.12,236.599,0.2032873254587786,541860.0,6.3
AK,2015-05-01,251579.00855250002,1214.1402954245132,0.12,237.805,0.5097232025494725,542036.0,6.3
AK,2015-06-01,252524.9912375,1217.1329296015174,0.13,238.638,0.3502869998528224,542351.0,6.3
AK,2015-07-01,253490.51723250002,1220.029027192184,0.13,238.654,0.0067047159295619,542488.0,6.2
AK,2015-08-01,254444.6111125,1223.0216613691882,0.14,238.316,-0.14162762828194841,542917.0,6.2
AK,2015-09-01,255578.92287,1226.0142955461924,0.14,237.945,-0.15567565753034085,543357.0,6.2
AK,2015-10-01,256935.0614325,1228.910393136859,0.12,237.838,-0.044968375044651676,543664.0,6.3
AK,2015-11-01,258224.9791425,1231.9030273138633,0.12,237.336,-0.21106803790814643,544206.0,6.3
AK,2015-12-01,259212.31136750002,1234.7991249045153,0.24,236.525,-0.34170964371187385,544288.0,6.4
AK,2016-01-01,259971.854425,1430.0084891476192,0.34,236.916,0.16531022090686687,545180.0,6.4
AK,2016-02-01,260360.418365,1430.0084891476192,0.38,237.111,0.0823076533454925,545399.0,6.5
AK,2016-03-01,258361.55402391302,1430.0084891476192,0.36,238.132,0.4306000143392774,545610.0,6.5
AK,2016-04-01,258267.4128195652,1430.0084891476192,0.37,239.261,0.4741067979104008,545942.0,6.5
